RESOURCE_NAME	LIMIT	MAX	CUR	M_U_R	C_U_R
processes	      3000	1481	96	49	3
sessions	      4528	1490	104	33	2
TABLESPACE_NAME	AUTOEXTENSIBLE	MAX	USED	FREE	USED_RATE
USERS	YES	131072	130990	82	100
UNDOTBS1	YES	32768	5134	27634	16
SYSAUX	YES	32768	1339	31429	4
SYSTEM	YES	32768	1239	31529	4
TEMP	YES	32768	1269	31499	4
